Ti,Ti_prime,To,a
17.91,17.753,-20.6,6000
17.753,11.829,-20.8,6000
11.829,20.811,-21.2,0
20.811,17.219,-21.7,10000
17.219,20.954,-21,6000
20.954,17.453,-20.5,10000
17.453,21.477,-20,6000
21.477,22.163,-17.7,10000
22.163,19.058,-15.3,10000
19.058,19.499,-13.3,6000
19.499,20.046,-12.1,6000
20.046,20.584,-11,6000
20.584,24.648,-10,6000
24.648,24.845,-10.1,10000
24.845,24.893,-10.3,10000
24.893,24.936,-10.6,10000
24.936,24.981,-10.5,10000
24.981,25.008,-10.5,10000
25.008,25.225,-10.6,10000
25.225,25.479,-10.3,10000
25.479,21.826,-10.1,10000
21.826,15.721,-10,6000
15.721,21.122,-10.8,0
21.122,20.907,-11.8,6000
20.907,21.083,-12.8,6000
21.083,15.328,-11.8,6000
15.328,25.064,-10.8,0
25.064,21.435,-10,10000
21.435,25.329,-9.6,6000
25.329,21.586,-9.5,10000
21.586,25.587,-9.3,6000
25.587,25.963,-8,10000
25.963,22.504,-6.8,10000
22.504,22.77,-5.5,6000
22.77,23.09,-5.3,6000
23.09,23.35,-5,6000
23.35,27.166,-5,6000
27.166,27.191,-6,10000
27.191,26.926,-7,10000
26.926,26.869,-8.3,10000
26.869,26.794,-9,10000
26.794,26.622,-9.6,10000
26.622,26.327,-10.6,10000
26.327,25.981,-10.8,10000
25.981,21.829,-11.1,10000
21.829,16.009,-11.6,6000
16.009,21.443,-11.1,0
21.443,21.436,-10.8,6000
21.436,21.347,-10.6,6000
21.347,15.508,-10.6,6000
15.508,24.588,-10.8,0
24.588,21.147,-11.1,10000
21.147,25.118,-11,6000
25.118,21.534,-11,10000
21.534,25.548,-11.1,6000
25.548,25.972,-9.8,10000
25.972,22.458,-8.8,10000
22.458,22.882,-7.8,6000
22.882,23.453,-6.5,6000
23.453,23.899,-5.4,6000
23.899,28.017,-4.4,6000
28.017,28.16,-4.6,10000
28.16,28.292,-5,10000
28.292,28.403,-5.5,10000
28.403,28.507,-5.5,10000
28.507,28.612,-5.5,10000
28.612,28.701,-5.5,10000
28.701,28.77,-5.6,10000
28.77,24.909,-5.8,10000
24.909,18.588,-6,6000
18.588,23.815,-7.3,0
21.781,26.147,-4.8,6000
26.147,22.532,-4,10000
22.532,22.655,-3.5,6000
22.655,26.764,-3,6000
26.764,22.806,-2.7,10000
22.806,26.645,-2.5,6000
26.645,26.92,-2.2,10000
26.92,17.233,-1.8,10000
17.233,26.887,-1.7,0
26.887,27.223,-1.7,10000
27.223,23.512,-1.3,10000
23.512,23.475,-1.2,6000
23.475,27.276,-1.1,6000
27.276,17.737,-1.6,10000
17.737,23.219,-2,0
23.219,23.189,-2.7,6000
23.189,26.961,-3,6000
26.961,17.308,-3.4,10000
17.308,26.681,-3.9,0
26.681,26.876,-4,10000
26.876,26.817,-4,10000
26.817,26.9,-4.4,10000
26.9,27.011,-4.3,10000
27.011,23.253,-4.3,6000
23.253,26.996,-4.4,6000
26.996,23.219,-4.6,10000
23.219,23.051,-5,6000
23.051,26.743,-5.5,6000
26.743,22.82,-6.5,10000
22.82,26.408,-7.6,6000
26.408,26.89,-8.8,10000
26.89,17.759,-7.3,10000
17.759,27.76,-5.8,0
27.76,28.285,-4.4,10000
28.285,24.797,-3.4,10000
24.797,24.93,-2.5,6000
24.93,28.933,-1.7,6000
28.933,19.319,-2.9,10000
19.319,24.892,-4.1,0
24.892,24.823,-5.5,6000
24.823,28.617,-5.9,6000
28.617,18.846,-6.1,10000
18.846,27.937,-6.6,0
27.937,27.79,-7.9,10000
27.79,27.401,-9.1,10000
27.401,27.659,-10.6,10000
27.659,28.094,-9.6,10000
28.094,24.489,-8.6,6000
24.489,28.672,-7.8,6000
28.672,25.164,-6.5,10000
25.164,25.411,-5.4,6000
25.411,29.484,-4.4,6000
29.484,25.739,-3.2,10000
25.739,29.653,-2,6000
29.653,29.793,-1.1,10000
29.793,20.305,0.4,10000
20.305,29.934,1.7,0
29.934,30.327,3.2,10000
30.327,26.825,3.2,10000
26.825,27.067,3.2,6000
27.067,30.902,3.2,6000
30.902,21.412,2.7,10000
21.412,26.854,2.2,0
26.854,26.685,1.7,6000
26.685,30.32,-0.6,6000
30.32,20.541,-3,10000
20.541,29.95,-5.5,0
29.95,30.117,-5.5,10000
30.117,30.2,-5.5,10000
30.2,30.318,-5.5,10000
30.318,30.344,-5.3,10000
30.344,26.525,-5,6000
26.525,30.115,-5,6000
30.115,26.16,-5.5,10000
26.16,25.793,-6.4,6000
25.793,29.526,-7.1,6000
29.526,25.697,-7.6,10000
25.697,29.404,-8.1,6000
29.404,29.898,-8.8,10000
29.898,20.717,-7.3,10000
20.717,30.763,-5.8,0
30.763,31.171,-4.4,10000
31.171,27.44,-4,10000
27.44,27.309,-4,6000
27.309,31.066,-3.9,6000
