index,temp out,temp in
     451.0,     -15.0,      32.0
     452.0,     -15.0,      33.0
     453.0,     -15.0,      34.0
     454.0,     -15.0,      35.0
     455.0,     -15.0,      36.0
     456.0,     -15.0,      37.0
     457.0,     -15.0,      38.0
     458.0,     -15.0,      39.0
     459.0,     -15.0,      40.0
     460.0,     -15.0,      41.0
     461.0,     -15.0,      42.0
     462.0,     -15.0,      43.0
     463.0,     -15.0,      44.0
     464.0,     -15.0,      45.0
     465.0,     -15.0,      46.0
     466.0,     -15.0,      47.0
     467.0,     -15.0,      48.0
     468.0,     -15.0,      49.0
     469.0,     -15.0,      50.0
     470.0,     -15.0,      51.0
     471.0,     -15.0,      52.0
     472.0,     -15.0,      53.0
     473.0,     -15.0,      54.0
     474.0,     -15.0,      55.0
     475.0,     -15.0,      56.0
     476.0,     -15.0,      57.0
     477.0,     -14.0,       5.0
     478.0,     -14.0,       6.0
     479.0,     -14.0,       7.0
     480.0,     -14.0,       8.0
     481.0,     -14.0,       9.0
     482.0,     -14.0,      10.0
     483.0,     -14.0,      11.0
     484.0,     -14.0,      12.0
     485.0,     -14.0,      13.0
     486.0,     -14.0,      14.0
     487.0,     -14.0,      15.0
     488.0,     -14.0,      16.0
     489.0,     -14.0,      17.0
     490.0,     -14.0,      18.0
     491.0,     -14.0,      19.0
     492.0,     -14.0,      20.0
     493.0,     -14.0,      21.0
     494.0,     -14.0,      22.0
     495.0,     -14.0,      23.0
     496.0,     -14.0,      24.0
     497.0,     -14.0,      25.0
     498.0,     -14.0,      26.0
     499.0,     -14.0,      27.0
     500.0,     -14.0,      28.0
     501.0,     -14.0,      29.0
     502.0,     -14.0,      30.0
     503.0,     -14.0,      31.0
     504.0,     -14.0,      32.0
     505.0,     -14.0,      33.0
     506.0,     -14.0,      34.0
     507.0,     -14.0,      35.0
     508.0,     -14.0,      36.0
     509.0,     -14.0,      37.0
     510.0,     -14.0,      38.0
     511.0,     -14.0,      39.0
     512.0,     -14.0,      40.0
     513.0,     -14.0,      41.0
     514.0,     -14.0,      42.0
     515.0,     -14.0,      43.0
     516.0,     -14.0,      44.0
     517.0,     -14.0,      45.0
     518.0,     -14.0,      46.0
     519.0,     -14.0,      47.0
     520.0,     -14.0,      48.0
     521.0,     -14.0,      49.0
     522.0,     -14.0,      50.0
     523.0,     -14.0,      51.0
     524.0,     -14.0,      52.0
     525.0,     -14.0,      53.0
     526.0,     -14.0,      54.0
     527.0,     -14.0,      55.0
     528.0,     -14.0,      56.0
     529.0,     -14.0,      57.0
     530.0,     -13.0,       5.0
     531.0,     -13.0,       6.0
     532.0,     -13.0,       7.0
     533.0,     -13.0,       8.0
     534.0,     -13.0,       9.0
     535.0,     -13.0,      10.0
     536.0,     -13.0,      11.0
     537.0,     -13.0,      12.0
     538.0,     -13.0,      13.0
     539.0,     -13.0,      14.0
     540.0,     -13.0,      15.0
     541.0,     -13.0,      16.0
     542.0,     -13.0,      17.0
     543.0,     -13.0,      18.0
     544.0,     -13.0,      19.0
     545.0,     -13.0,      20.0
     546.0,     -13.0,      21.0
     547.0,     -13.0,      22.0
     548.0,     -13.0,      23.0
     549.0,     -13.0,      24.0
     550.0,     -13.0,      25.0
     551.0,     -13.0,      26.0
     552.0,     -13.0,      27.0
     553.0,     -13.0,      28.0
     554.0,     -13.0,      29.0
     555.0,     -13.0,      30.0
     556.0,     -13.0,      31.0
     557.0,     -13.0,      32.0
     558.0,     -13.0,      33.0
     559.0,     -13.0,      34.0
     560.0,     -13.0,      35.0
     561.0,     -13.0,      36.0
     562.0,     -13.0,      37.0
     563.0,     -13.0,      38.0
     564.0,     -13.0,      39.0
     565.0,     -13.0,      40.0
     566.0,     -13.0,      41.0
     567.0,     -13.0,      42.0
     568.0,     -13.0,      43.0
     569.0,     -13.0,      44.0
     570.0,     -13.0,      45.0
     571.0,     -13.0,      46.0
     572.0,     -13.0,      47.0
     573.0,     -13.0,      48.0
     574.0,     -13.0,      49.0
     575.0,     -13.0,      50.0
     576.0,     -13.0,      51.0
     577.0,     -13.0,      52.0
     578.0,     -13.0,      53.0
     579.0,     -13.0,      54.0
     580.0,     -13.0,      55.0
     581.0,     -13.0,      56.0
     582.0,     -13.0,      57.0
     583.0,     -12.0,       5.0
     584.0,     -12.0,       6.0
     585.0,     -12.0,       7.0
     586.0,     -12.0,       8.0
     587.0,     -12.0,       9.0
     588.0,     -12.0,      10.0
     589.0,     -12.0,      11.0
     590.0,     -12.0,      12.0
     591.0,     -12.0,      13.0
     592.0,     -12.0,      14.0
     593.0,     -12.0,      15.0
     594.0,     -12.0,      16.0
     595.0,     -12.0,      17.0
     596.0,     -12.0,      18.0
     597.0,     -12.0,      19.0
     598.0,     -12.0,      20.0
     599.0,     -12.0,      21.0
     600.0,     -12.0,      22.0
     601.0,     -12.0,      23.0
     602.0,     -12.0,      24.0
     603.0,     -12.0,      25.0
     604.0,     -12.0,      26.0
     605.0,     -12.0,      27.0
     606.0,     -12.0,      28.0
     607.0,     -12.0,      29.0
     608.0,     -12.0,      30.0
     609.0,     -12.0,      31.0
     610.0,     -12.0,      32.0
     611.0,     -12.0,      33.0
     612.0,     -12.0,      34.0
     613.0,     -12.0,      35.0
     614.0,     -12.0,      36.0
